OBJECTID,Common,Scientific,Family,Genus,Species,Condition,Crown Height,Edible,longitude,latitude
87,sweetgum,Liquidambar spp.,Altingiaceae,Liquidambar,LIST,Good,40,no,-122.6709373,45.52394159
88,ginkgo,Ginkgo biloba,Ginkgoaceae,Ginkgo,GIBI,Good,57,no,-122.6735917,45.52582482
89,tupelo,Nyssa spp.,Cornaceae,Nyssa,NYSY,Good,28,no,-122.6832998,45.53288733
90,tupelo,Nyssa spp.,Cornaceae,Nyssa,NYSY,Good,25,no,-122.6832163,45.53289279
91,zelkova,Zelkova serrata,Ulmaceae,Zelkova,ZESE,Good,40,no,-122.6830944,45.53289085
92,tupelo,Nyssa spp.,Cornaceae,Nyssa,NYSY,Good,64,no,-122.6777254,45.52315531
93,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,67,no,-122.6816345,45.52877887
94,elm,Ulmus spp.,Ulmaceae,Ulmuys,UL,Good,47,no,-122.678602,45.52455999
95,elm,Ulmus spp.,Ulmaceae,Ulmuys,UL,Good,53,no,-122.6786068,45.52468518
96,"oak, deciduous",Quercus spp.,Fagaceae,Quercus,QU,Good,25,no,-122.6786196,45.52503504
97,"maple, other",Acer spp.,Sapindaceae,Acer,AC,Good,36,no,-122.6786176,45.52494934
98,elm,Ulmus spp.,Ulmaceae,Ulmuys,UL,Good,60,no,-122.6786288,45.52525803
99,"oak, deciduous",Quercus spp.,Fagaceae,Quercus,QU,Good,56,no,-122.6786421,45.52560549
100,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,26,no,-122.6786419,45.52568838
101,"oak, deciduous",Quercus spp.,Fagaceae,Quercus,QU,Good,66,no,-122.6786465,45.52577118
102,elm,Ulmus spp.,Ulmaceae,Ulmuys,UL,Good,43,no,-122.6790517,45.5243014
103,"oak, deciduous",Quercus spp.,Fagaceae,Quercus,QU,Good,32,no,-122.6791082,45.52576129
104,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,60,no,-122.6791057,45.52568203
105,"oak, deciduous",Quercus spp.,Fagaceae,Quercus,QU,Good,29,no,-122.6791014,45.52557636
106,"oak, deciduous",Quercus spp.,Fagaceae,Quercus,QU,Good,10,no,-122.6790964,45.52540498
107,elm,Ulmus spp.,Ulmaceae,Ulmuys,UL,Good,50,no,-122.6790903,45.52530411
108,elm,Ulmus spp.,Ulmaceae,Ulmuys,UL,Good,52,no,-122.6790791,45.52491296
109,"maple, other",Acer spp.,Sapindaceae,Acer,AC,Good,65,no,-122.6790686,45.52465879
110,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,53,no,-122.6785851,45.52394023
111,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,33,no,-122.6822768,45.5288045
112,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,45,no,-122.6815822,45.52877697
113,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,60,no,-122.6776645,45.5317457
114,"oak, deciduous",Quercus spp.,Fagaceae,Quercus,QU,Good,25,no,-122.6791164,45.52597556
115,"maple, other",Acer spp.,Sapindaceae,Acer,AC,Good,15,no,-122.6791211,45.52610497
116,"oak, deciduous",Quercus spp.,Fagaceae,Quercus,QU,Good,26,no,-122.6786533,45.52599359
117,zelkova,Zelkova serrata,Ulmaceae,Zelkova,ZESE,Good,60,no,-122.6821932,45.53086706
118,zelkova,Zelkova serrata,Ulmaceae,Zelkova,ZESE,Good,22,no,-122.6821101,45.53086804
119,zelkova,Zelkova serrata,Ulmaceae,Zelkova,ZESE,Good,55,no,-122.6816846,45.53087619
120,,,,,,,65,,-122.680118,45.52656632
121,,,,,,,38,,-122.6811727,45.52646979
122,,,,,,,45,,-122.680205,45.52537318
123,,,,,,,33,,-122.6801261,45.52743079
124,,,,,,,29,,-122.6812556,45.52740377
125,,,,,,,47,,-122.6821936,45.52794737
126,,,,,,,41,,-122.6821334,45.52519195
127,,,,,,,46,,-122.6790131,45.52388603
128,,,,,,,38,,-122.6800346,45.52378054
129,,,,,,,42,,-122.6800559,45.52397685
130,,,,,,,51,,-122.6800704,45.52419958
131,,,,,,,28,,-122.6800971,45.52459858
132,,,,,,,40,,-122.680506,45.52457051
133,,,,,,,45,,-122.6821568,45.52546981
134,,,,,,,45,,-122.6821512,45.52569538
135,,,,,,,36,,-122.6821206,45.52448752
136,,,,,,,42,,-122.6821369,45.52471136
137,,,,,,,27,,-122.6821446,45.52494029
138,,,,,,,29,,-122.6823628,45.52586987
139,,,,,,,28,,-122.6826946,45.52586442
140,,,,,,,50,,-122.6830597,45.52585178
141,,,,,,,60,,-122.6821988,45.5266316
142,,,,,,,45,,-122.6822104,45.52693232
143,,,,,,,51,,-122.682224,45.52716368
144,,,,,,,27,,-122.6811266,45.52519211
145,,,,,,,35,,-122.6811394,45.52573533
